Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde3904    Vardas3904                 8.50            8.60
Pavarde3905    Vardas3905                 5.60            5.60
Pavarde3906    Vardas3906                 8.60            9.20
Pavarde3907    Vardas3907                 3.10            3.40
Pavarde3908    Vardas3908                 7.80            7.60
Pavarde3909    Vardas3909                 5.70            5.60
Pavarde3910    Vardas3910                 2.70            2.80
Pavarde3911    Vardas3911                 3.40            3.40
Pavarde3912    Vardas3912                 4.80            4.80
Pavarde3913    Vardas3913                 7.90            8.00
Pavarde3914    Vardas3914                 4.50            4.60
Pavarde3915    Vardas3915                 4.10            4.20
Pavarde3916    Vardas3916                 8.10            8.00
Pavarde3917    Vardas3917                 5.60            5.60
Pavarde3918    Vardas3918                 8.10            8.00
Pavarde3919    Vardas3919                 6.30            5.80
Pavarde3920    Vardas3920                 7.00            6.80
Pavarde3921    Vardas3921                 7.60            7.80
Pavarde3922    Vardas3922                 6.80            6.80
Pavarde3923    Vardas3923                 4.90            5.00
Pavarde3924    Vardas3924                 4.00            3.60
Pavarde3925    Vardas3925                 6.90            6.80
Pavarde3926    Vardas3926                 5.60            5.40
Pavarde3927    Vardas3927                 7.90            8.00
Pavarde3928    Vardas3928                 3.90            3.40
Pavarde3929    Vardas3929                 5.10            5.40
Pavarde3930    Vardas3930                 4.90            4.80
Pavarde3931    Vardas3931                 5.60            5.60
Pavarde3932    Vardas3932                 4.60            4.80
Pavarde3933    Vardas3933                 6.00            5.80
Pavarde3934    Vardas3934                 8.00            8.60
Pavarde3935    Vardas3935                 4.20            4.40
Pavarde3936    Vardas3936                 5.00            4.80
Pavarde3937    Vardas3937                 3.50            3.60
Pavarde3938    Vardas3938                 3.10            3.20
Pavarde3939    Vardas3939                 6.60            6.60
Pavarde3940    Vardas3940                 7.50            7.40
Pavarde3941    Vardas3941                 4.60            4.80
Pavarde3942    Vardas3942                 4.00            4.00
Pavarde3943    Vardas3943                 7.80            8.20
Pavarde3944    Vardas3944                 2.80            2.80
Pavarde3945    Vardas3945                 3.60            3.60
Pavarde3946    Vardas3946                 8.80            9.40
Pavarde3947    Vardas3947                 6.30            6.20
Pavarde3948    Vardas3948                 7.10            7.20
Pavarde3949    Vardas3949                 3.90            3.80
Pavarde3950    Vardas3950                 8.00            8.00
Pavarde3951    Vardas3951                 6.30            5.80
Pavarde3952    Vardas3952                 3.70            3.80
Pavarde3953    Vardas3953                 3.30            3.20
Pavarde3954    Vardas3954                 8.50            8.20
Pavarde3955    Vardas3955                 6.10            6.20
Pavarde3956    Vardas3956                 2.90            2.80
Pavarde3957    Vardas3957                 7.30            7.40
Pavarde3958    Vardas3958                 2.60            2.80
Pavarde3959    Vardas3959                 2.60            2.20
Pavarde3960    Vardas3960                 5.40            5.40
Pavarde3961    Vardas3961                 3.00            3.00
Pavarde3962    Vardas3962                 5.30            4.80
Pavarde3963    Vardas3963                 8.00            8.00
Pavarde3964    Vardas3964                 3.40            3.00
Pavarde3965    Vardas3965                 4.50            4.80
Pavarde3966    Vardas3966                 5.60            5.80
Pavarde3967    Vardas3967                 7.70            7.80
Pavarde3968    Vardas3968                 6.80            6.20
Pavarde3969    Vardas3969                 3.20            3.40
Pavarde3970    Vardas3970                 5.80            5.60
Pavarde3971    Vardas3971                 8.30            8.20
Pavarde3972    Vardas3972                 7.00            7.20
Pavarde3973    Vardas3973                 6.60            7.00
Pavarde3974    Vardas3974                 4.60            4.40
Pavarde3975    Vardas3975                 6.60            6.80
Pavarde3976    Vardas3976                 3.70            3.00
Pavarde3977    Vardas3977                 6.40            6.20
Pavarde3978    Vardas3978                 4.20            4.00
Pavarde3979    Vardas3979                 5.40            5.60
Pavarde3980    Vardas3980                 9.30            9.40
Pavarde3981    Vardas3981                 3.40            3.20
Pavarde3982    Vardas3982                 4.30            4.00
Pavarde3983    Vardas3983                 4.20            3.80
Pavarde3984    Vardas3984                 5.70            5.40
Pavarde3985    Vardas3985                 4.80            4.80
Pavarde3986    Vardas3986                 4.20            4.40
Pavarde3987    Vardas3987                 4.70            4.60
Pavarde3988    Vardas3988                 7.70            8.20
Pavarde3989    Vardas3989                 4.50            4.20
Pavarde3990    Vardas3990                 4.30            5.00
Pavarde3991    Vardas3991                 8.40            8.60
Pavarde3992    Vardas3992                 5.60            5.20
Pavarde3993    Vardas3993                 4.30            4.20
Pavarde3994    Vardas3994                 2.70            2.80
Pavarde3995    Vardas3995                 3.80            3.80
Pavarde3996    Vardas3996                 4.80            4.80
Pavarde3997    Vardas3997                 4.10            4.20
Pavarde3998    Vardas3998                 4.30            4.60
Pavarde3999    Vardas3999                 3.20            3.20
Pavarde4000    Vardas4000                 4.60            4.80
Pavarde4001    Vardas4001                 7.30            7.80
Pavarde4002    Vardas4002                 3.50            3.60
Pavarde4003    Vardas4003                 4.40            3.60
Pavarde4004    Vardas4004                 6.40            6.40
Pavarde4005    Vardas4005                 2.80            2.80
Pavarde4006    Vardas4006                 5.80            5.40
Pavarde4007    Vardas4007                 8.70            8.60
Pavarde4008    Vardas4008                 8.20            7.80
Pavarde4009    Vardas4009                 2.00            2.00
Pavarde4010    Vardas4010                 5.20            5.40
Pavarde4011    Vardas4011                 7.20            6.80
Pavarde4012    Vardas4012                 6.40            6.80
Pavarde4013    Vardas4013                 4.60            4.60
Pavarde4014    Vardas4014                 3.50            3.40
Pavarde4015    Vardas4015                 4.00            3.60
Pavarde4016    Vardas4016                 7.60            7.20
Pavarde4017    Vardas4017                 4.70            5.00
Pavarde4018    Vardas4018                 6.10            6.20
Pavarde4019    Vardas4019                 4.00            3.80
Pavarde4020    Vardas4020                 2.80            3.00
Pavarde4021    Vardas4021                 7.80            7.20
Pavarde4022    Vardas4022                 5.50            5.20
Pavarde4023    Vardas4023                 5.90            6.00
Pavarde4024    Vardas4024                 8.60            8.80
Pavarde4025    Vardas4025                 3.30            3.00
Pavarde4026    Vardas4026                 6.50            7.20
Pavarde4027    Vardas4027                 6.80            6.60
Pavarde4028    Vardas4028                 6.70            6.60
Pavarde4029    Vardas4029                 7.50            7.40
Pavarde4030    Vardas4030                 3.50            3.40
Pavarde4031    Vardas4031                 7.10            6.60
Pavarde4032    Vardas4032                 3.50            3.60
Pavarde4033    Vardas4033                 2.70            2.80
Pavarde4034    Vardas4034                 6.70            6.60
Pavarde4035    Vardas4035                 5.40            5.60
Pavarde4036    Vardas4036                 6.10            6.40
Pavarde4037    Vardas4037                 3.80            4.00
Pavarde4038    Vardas4038                 4.80            4.60
Pavarde4039    Vardas4039                 4.20            4.20
Pavarde4040    Vardas4040                 2.70            2.60
Pavarde4041    Vardas4041                 5.40            5.20
Pavarde4042    Vardas4042                 4.40            4.80
Pavarde4043    Vardas4043                 7.10            6.60
Pavarde4044    Vardas4044                 7.80            8.00
Pavarde4045    Vardas4045                 7.40            7.20
Pavarde4046    Vardas4046                 5.90            5.80
Pavarde4047    Vardas4047                 4.00            4.00
Pavarde4048    Vardas4048                 7.20            7.20
Pavarde4049    Vardas4049                 6.40            6.20
Pavarde4050    Vardas4050                 6.30            6.00
Pavarde4051    Vardas4051                 7.30            7.60
Pavarde4052    Vardas4052                 8.90            9.20
Pavarde4053    Vardas4053                 4.20            4.40
Pavarde4054    Vardas4054                 6.00            5.60
Pavarde4055    Vardas4055                 3.50            3.00
Pavarde4056    Vardas4056                 5.60            5.60
Pavarde4057    Vardas4057                 7.00            7.00
Pavarde4058    Vardas4058                 3.40            3.40
Pavarde4059    Vardas4059                 3.70            3.80
Pavarde4060    Vardas4060                 2.90            3.20
Pavarde4061    Vardas4061                 2.60            2.40
Pavarde4062    Vardas4062                 7.70            7.60
Pavarde4063    Vardas4063                 5.10            5.20
Pavarde4064    Vardas4064                 5.20            5.20
Pavarde4065    Vardas4065                 3.60            4.00
Pavarde4066    Vardas4066                 1.40            1.20
Pavarde4067    Vardas4067                 5.70            5.60
Pavarde4068    Vardas4068                 3.90            4.00
Pavarde4069    Vardas4069                 5.70            5.60
Pavarde4070    Vardas4070                 5.00            4.80
Pavarde4071    Vardas4071                 3.20            3.00
Pavarde4072    Vardas4072                 3.10            2.60
Pavarde4073    Vardas4073                 7.70            7.80
Pavarde4074    Vardas4074                 6.70            6.20
Pavarde4075    Vardas4075                 2.30            2.40
Pavarde4076    Vardas4076                 4.90            5.20
Pavarde4077    Vardas4077                 5.20            5.60
Pavarde4078    Vardas4078                 5.20            5.20
Pavarde4079    Vardas4079                 8.80            9.00
Pavarde4080    Vardas4080                 3.90            4.00
Pavarde4081    Vardas4081                 3.10            2.80
Pavarde4082    Vardas4082                 6.20            5.80
Pavarde4083    Vardas4083                 6.40            6.40
Pavarde4084    Vardas4084                 4.10            4.40
Pavarde4085    Vardas4085                 5.10            5.40
Pavarde4086    Vardas4086                 6.70            6.80
Pavarde4087    Vardas4087                 3.40            3.20
Pavarde4088    Vardas4088                 3.80            3.80
Pavarde4089    Vardas4089                 4.30            4.20
Pavarde4090    Vardas4090                 7.90            8.00
Pavarde4091    Vardas4091                 1.90            2.00
Pavarde4092    Vardas4092                 8.40            9.20
Pavarde4093    Vardas4093                 3.50            3.20
Pavarde4094    Vardas4094                 2.40            2.20
Pavarde4095    Vardas4095                 6.70            6.60
Pavarde4096    Vardas4096                 8.50            8.60
Pavarde4097    Vardas4097                 4.00            4.00
Pavarde4098    Vardas4098                 3.20            3.80
Pavarde4099    Vardas4099                 4.40            4.20
Pavarde4100    Vardas4100                 8.00            8.40
Pavarde4101    Vardas4101                 8.10            7.80
Pavarde4102    Vardas4102                 7.50            7.80
Pavarde4103    Vardas4103                 3.40            3.20
Pavarde4104    Vardas4104                 6.20            6.20
Pavarde4105    Vardas4105                 4.20            4.20
Pavarde4106    Vardas4106                 3.20            3.40
Pavarde4107    Vardas4107                 5.00            4.40
Pavarde4108    Vardas4108                 5.40            5.00
Pavarde4109    Vardas4109                 6.20            6.00
Pavarde4110    Vardas4110                 4.90            5.20
Pavarde4111    Vardas4111                 5.80            5.40
Pavarde4112    Vardas4112                 8.10            8.20
Pavarde4113    Vardas4113                 8.70            8.80
Pavarde4114    Vardas4114                 4.00            4.40
Pavarde4115    Vardas4115                 5.60            5.80
Pavarde4116    Vardas4116                 4.00            4.00
Pavarde4117    Vardas4117                 3.40            2.80
Pavarde4118    Vardas4118                 9.20            9.20
Pavarde4119    Vardas4119                 3.70            4.00
Pavarde4120    Vardas4120                 2.60            2.20
Pavarde4121    Vardas4121                 3.70            3.60
Pavarde4122    Vardas4122                 3.50            3.40
Pavarde4123    Vardas4123                 4.60            4.40
Pavarde4124    Vardas4124                 6.30            6.20
Pavarde4125    Vardas4125                 3.20            3.20
Pavarde4126    Vardas4126                 5.30            5.20
Pavarde4127    Vardas4127                 7.30            7.00
Pavarde4128    Vardas4128                 6.40            6.40
Pavarde4129    Vardas4129                 6.50            6.40
Pavarde4130    Vardas4130                 9.00            9.40
Pavarde4131    Vardas4131                 8.00            8.40
Pavarde4132    Vardas4132                 7.00            7.40
Pavarde4133    Vardas4133                 7.20            7.00
Pavarde4134    Vardas4134                 5.30            5.00
Pavarde4135    Vardas4135                 3.80            3.80
Pavarde4136    Vardas4136                 7.70            7.60
Pavarde4137    Vardas4137                 6.80            6.40
Pavarde4138    Vardas4138                 7.90            7.80
Pavarde4139    Vardas4139                 3.50            3.80
Pavarde4140    Vardas4140                 6.30            6.40
Pavarde4141    Vardas4141                 5.90            5.80
Pavarde4142    Vardas4142                 8.50            8.60
Pavarde4143    Vardas4143                 2.60            2.20
Pavarde4144    Vardas4144                 7.30            7.80
Pavarde4145    Vardas4145                 3.90            4.00
Pavarde4146    Vardas4146                 3.50            3.60
Pavarde4147    Vardas4147                 8.20            8.40
Pavarde4148    Vardas4148                 5.70            5.60
Pavarde4149    Vardas4149                 2.70            2.80
Pavarde4150    Vardas4150                 5.70            5.80
Pavarde4151    Vardas4151                 5.30            5.40
Pavarde4152    Vardas4152                 7.30            7.40
Pavarde4153    Vardas4153                 3.10            3.20
Pavarde4154    Vardas4154                 4.20            4.00
Pavarde4155    Vardas4155                 4.50            4.40
Pavarde4156    Vardas4156                 6.40            6.40
Pavarde4157    Vardas4157                 4.90            4.20
Pavarde4158    Vardas4158                 6.50            6.40
Pavarde4159    Vardas4159                 5.80            5.80
Pavarde4160    Vardas4160                 3.50            3.40
Pavarde4161    Vardas4161                 6.50            6.20
Pavarde4162    Vardas4162                 5.40            5.40
Pavarde4163    Vardas4163                 3.60            3.60
Pavarde4164    Vardas4164                 3.60            3.40
Pavarde4165    Vardas4165                 2.70            2.60
Pavarde4166    Vardas4166                 4.40            3.80
Pavarde4167    Vardas4167                 4.70            4.80
Pavarde4168    Vardas4168                 7.40            7.80
Pavarde4169    Vardas4169                 4.80            5.00
Pavarde4170    Vardas4170                 6.90            7.00
Pavarde4171    Vardas4171                 4.40            4.40
Pavarde4172    Vardas4172                 4.70            5.00
Pavarde4173    Vardas4173                 5.30            4.80
Pavarde4174    Vardas4174                 9.00            9.20
Pavarde4175    Vardas4175                 4.40            3.60
Pavarde4176    Vardas4176                 2.80            2.80
Pavarde4177    Vardas4177                 7.00            7.20
Pavarde4178    Vardas4178                 9.00            9.60
Pavarde4179    Vardas4179                 5.30            5.40
Pavarde4180    Vardas4180                 5.00            5.00
Pavarde4181    Vardas4181                 5.70            5.60
Pavarde4182    Vardas4182                 3.10            3.00
Pavarde4183    Vardas4183                 4.00            4.20
Pavarde4184    Vardas4184                 2.60            2.40
Pavarde4185    Vardas4185                 7.10            7.20
Pavarde4186    Vardas4186                 8.00            8.40
Pavarde4187    Vardas4187                 7.00            6.80
Pavarde4188    Vardas4188                 6.20            6.00
Pavarde4189    Vardas4189                 7.80            8.00
Pavarde4190    Vardas4190                 4.30            4.00
Pavarde4191    Vardas4191                 2.80            2.80
Pavarde4192    Vardas4192                 3.90            4.00
Pavarde4193    Vardas4193                 5.70            5.60
Pavarde4194    Vardas4194                 3.10            3.40
Pavarde4195    Vardas4195                 9.00            9.40
Pavarde4196    Vardas4196                 7.30            7.40
Pavarde4197    Vardas4197                 7.50            7.40
Pavarde4198    Vardas4198                 7.70            7.20
Pavarde4199    Vardas4199                 7.50            7.60
Pavarde4200    Vardas4200                 5.30            6.00
Pavarde4201    Vardas4201                 5.60            5.60
Pavarde4202    Vardas4202                 3.60            3.80
Pavarde4203    Vardas4203                 2.80            2.20
Pavarde4204    Vardas4204                 7.50            7.00
Pavarde4205    Vardas4205                 4.30            4.20
Pavarde4206    Vardas4206                 4.80            4.80
Pavarde4207    Vardas4207                 3.40            3.40
Pavarde4208    Vardas4208                 4.20            4.40
Pavarde4209    Vardas4209                 5.10            5.20
Pavarde4210    Vardas4210                 4.20            4.00
Pavarde4211    Vardas4211                 3.90            3.80
Pavarde4212    Vardas4212                 4.00            4.00
Pavarde4213    Vardas4213                 4.30            4.20
Pavarde4214    Vardas4214                 2.20            2.00
Pavarde4215    Vardas4215                 6.10            6.00
Pavarde4216    Vardas4216                 4.80            5.20
Pavarde4217    Vardas4217                 3.00            3.20
Pavarde4218    Vardas4218                 5.20            5.00
Pavarde4219    Vardas4219                 6.10            6.00
Pavarde4220    Vardas4220                 8.90            9.00
Pavarde4221    Vardas4221                 3.00            2.80
Pavarde4222    Vardas4222                 6.80            7.20
Pavarde4223    Vardas4223                 6.10            6.40
Pavarde4224    Vardas4224                 6.90            7.20
Pavarde4225    Vardas4225                 8.40            8.80
Pavarde4226    Vardas4226                 5.90            5.40
Pavarde4227    Vardas4227                 1.80            1.40
Pavarde4228    Vardas4228                 3.80            4.00
Pavarde4229    Vardas4229                 2.50            2.40
Pavarde4230    Vardas4230                 8.10            8.20
Pavarde4231    Vardas4231                 4.90            4.80
Pavarde4232    Vardas4232                 4.40            4.20
Pavarde4233    Vardas4233                 2.50            2.20
Pavarde4234    Vardas4234                 6.30            6.00
Pavarde4235    Vardas4235                 2.90            2.60
Pavarde4236    Vardas4236                 4.90            4.60
Pavarde4237    Vardas4237                 6.30            5.60
Pavarde4238    Vardas4238                 2.80            2.60
Pavarde4239    Vardas4239                 7.60            7.60
Pavarde4240    Vardas4240                 8.90            9.00
Pavarde4241    Vardas4241                 6.50            6.60
Pavarde4242    Vardas4242                 5.10            5.00
Pavarde4243    Vardas4243                 7.50            7.80
Pavarde4244    Vardas4244                 2.80            2.40
Pavarde4245    Vardas4245                 2.70            2.40
Pavarde4246    Vardas4246                 3.30            3.40
Pavarde4247    Vardas4247                 2.60            2.80
Pavarde4248    Vardas4248                 5.70            6.20
Pavarde4249    Vardas4249                 2.70            2.60
Pavarde4250    Vardas4250                 6.90            6.80
Pavarde4251    Vardas4251                 5.70            5.80
Pavarde4252    Vardas4252                 7.60            7.40
Pavarde4253    Vardas4253                 3.50            3.40
Pavarde4254    Vardas4254                 6.90            7.20
Pavarde4255    Vardas4255                 6.80            7.00
Pavarde4256    Vardas4256                 2.90            2.40
Pavarde4257    Vardas4257                 2.90            3.00
Pavarde4258    Vardas4258                 8.10            8.20
Pavarde4259    Vardas4259                 5.10            5.60
Pavarde4260    Vardas4260                 7.80            7.80
Pavarde4261    Vardas4261                 3.90            4.00
Pavarde4262    Vardas4262                 6.60            6.60
Pavarde4263    Vardas4263                 4.50            4.00
Pavarde4264    Vardas4264                 2.80            2.60
Pavarde4265    Vardas4265                 3.30            3.20
Pavarde4266    Vardas4266                 4.60            4.80
Pavarde4267    Vardas4267                 6.00            5.80
Pavarde4268    Vardas4268                 6.80            6.60
Pavarde4269    Vardas4269                 5.40            6.00
Pavarde4270    Vardas4270                 3.90            4.40
Pavarde4271    Vardas4271                 4.20            4.40
Pavarde4272    Vardas4272                 5.70            5.80
Pavarde4273    Vardas4273                 5.30            5.20
Pavarde4274    Vardas4274                 6.80            7.20
Pavarde4275    Vardas4275                 3.80            4.00
Pavarde4276    Vardas4276                 4.20            4.20
Pavarde4277    Vardas4277                 4.70            4.60
Pavarde4278    Vardas4278                 6.80            6.80
Pavarde4279    Vardas4279                 5.30            5.20
Pavarde4280    Vardas4280                 8.70            8.80
Pavarde4281    Vardas4281                 6.50            6.60
Pavarde4282    Vardas4282                 7.70            7.40
Pavarde4283    Vardas4283                 6.00            5.80
Pavarde4284    Vardas4284                 3.90            3.80
Pavarde4285    Vardas4285                 5.50            5.20
Pavarde4286    Vardas4286                 3.50            4.00
Pavarde4287    Vardas4287                 6.40            6.40
Pavarde4288    Vardas4288                 7.30            7.40
Pavarde4289    Vardas4289                 7.90            8.20
Pavarde4290    Vardas4290                 2.20            2.00
Pavarde4291    Vardas4291                 4.70            4.80
Pavarde4292    Vardas4292                 8.20            8.20
Pavarde4293    Vardas4293                 3.80            3.80
Pavarde4294    Vardas4294                 2.90            2.80
Pavarde4295    Vardas4295                 7.40            7.80
Pavarde4296    Vardas4296                 3.80            3.40
Pavarde4297    Vardas4297                 4.10            3.80
Pavarde4298    Vardas4298                 7.40            7.80
Pavarde4299    Vardas4299                 5.80            6.40
Pavarde4300    Vardas4300                 4.50            4.60
Pavarde4301    Vardas4301                 6.20            6.60
Pavarde4302    Vardas4302                 6.30            6.40
Pavarde4303    Vardas4303                 7.20            7.40
Pavarde4304    Vardas4304                 4.70            4.60
Pavarde4305    Vardas4305                 8.50            8.40
Pavarde4306    Vardas4306                 7.10            7.00
Pavarde4307    Vardas4307                 6.70            6.80
Pavarde4308    Vardas4308                 5.40            6.00
Pavarde4309    Vardas4309                 5.40            6.20
Pavarde4310    Vardas4310                 6.30            6.00
Pavarde4311    Vardas4311                 8.20            8.40
Pavarde4312    Vardas4312                 6.30            6.40
Pavarde4313    Vardas4313                 8.50            8.60
Pavarde4314    Vardas4314                 4.30            4.20
Pavarde4315    Vardas4315                 3.70            4.20
Pavarde4316    Vardas4316                 4.30            4.20
Pavarde4317    Vardas4317                 2.80            3.00
Pavarde4318    Vardas4318                 8.70            9.20
Pavarde4319    Vardas4319                 3.70            3.60
Pavarde4320    Vardas4320                 7.20            7.20
Pavarde4321    Vardas4321                 5.30            5.40
Pavarde4322    Vardas4322                 3.10            2.80
Pavarde4323    Vardas4323                 2.90            2.80
Pavarde4324    Vardas4324                 4.80            4.80
Pavarde4325    Vardas4325                 4.80            4.20
Pavarde4326    Vardas4326                 3.10            3.00
Pavarde4327    Vardas4327                 3.10            3.40
Pavarde4328    Vardas4328                 8.30            8.20
Pavarde4329    Vardas4329                 6.50            6.40
Pavarde4330    Vardas4330                 6.00            6.00
Pavarde4331    Vardas4331                 7.80            7.80
Pavarde4332    Vardas4332                 6.60            6.60
Pavarde4333    Vardas4333                 5.70            5.80
Pavarde4334    Vardas4334                 3.60            3.60
Pavarde4335    Vardas4335                 8.00            7.80
Pavarde4336    Vardas4336                 5.90            6.20
Pavarde4337    Vardas4337                 7.10            7.20
Pavarde4338    Vardas4338                 7.80            7.80
Pavarde4339    Vardas4339                 3.10            3.20
Pavarde4340    Vardas4340                 3.70            4.00
Pavarde4341    Vardas4341                 8.20            8.20
Pavarde4342    Vardas4342                 8.30            8.80
Pavarde4343    Vardas4343                 5.70            6.20
Pavarde4344    Vardas4344                 5.40            5.40
Pavarde4345    Vardas4345                 6.90            7.00
Pavarde4346    Vardas4346                 5.00            4.80
Pavarde4347    Vardas4347                 6.90            7.20
Pavarde4348    Vardas4348                 5.20            5.20
Pavarde4349    Vardas4349                 8.30            8.00
Pavarde4350    Vardas4350                 3.40            3.60
Pavarde4351    Vardas4351                 6.90            6.80
Pavarde4352    Vardas4352                 4.10            4.00
Pavarde4353    Vardas4353                 3.30            4.00
Pavarde4354    Vardas4354                 3.10            3.20
Pavarde4355    Vardas4355                 3.20            2.60
Pavarde4356    Vardas4356                 7.30            7.00
Pavarde4357    Vardas4357                 2.80            3.00
Pavarde4358    Vardas4358                 4.00            4.00
Pavarde4359    Vardas4359                 5.10            5.20
Pavarde4360    Vardas4360                 3.10            3.00
Pavarde4361    Vardas4361                 6.10            6.00
Pavarde4362    Vardas4362                 4.40            4.60
Pavarde4363    Vardas4363                 7.00            6.60
Pavarde4364    Vardas4364                 8.90            9.20
Pavarde4365    Vardas4365                 8.50            8.60
Pavarde4366    Vardas4366                 7.70            7.80
Pavarde4367    Vardas4367                 4.20            4.40
Pavarde4368    Vardas4368                 3.00            2.80
Pavarde4369    Vardas4369                 2.20            2.20
Pavarde4370    Vardas4370                 3.30            3.20
Pavarde4371    Vardas4371                 7.00            7.00
Pavarde4372    Vardas4372                 4.90            5.00
Pavarde4373    Vardas4373                 6.40            6.20
Pavarde4374    Vardas4374                 2.80            3.00
Pavarde4375    Vardas4375                 8.70            9.20
Pavarde4376    Vardas4376                 6.30            5.60
Pavarde4377    Vardas4377                 3.10            3.00
Pavarde4378    Vardas4378                 4.20            4.40
Pavarde4379    Vardas4379                 8.30            8.20
Pavarde4380    Vardas4380                 3.60            3.60
Pavarde4381    Vardas4381                 6.90            7.00
Pavarde4382    Vardas4382                 3.60            3.80
Pavarde4383    Vardas4383                 6.70            6.60
Pavarde4384    Vardas4384                 5.60            5.60
Pavarde4385    Vardas4385                 6.00            6.20
Pavarde4386    Vardas4386                 6.40            6.00
Pavarde4387    Vardas4387                 7.40            7.20
Pavarde4388    Vardas4388                 4.80            4.60
Pavarde4389    Vardas4389                 3.30            3.00
Pavarde4390    Vardas4390                 3.40            3.00
Pavarde4391    Vardas4391                 4.90            4.60
Pavarde4392    Vardas4392                 5.90            6.20
Pavarde4393    Vardas4393                 3.40            3.80
Pavarde4394    Vardas4394                 7.90            7.80
Pavarde4395    Vardas4395                 3.20            3.20
Pavarde4396    Vardas4396                 3.60            3.40
Pavarde4397    Vardas4397                 8.00            8.00
Pavarde4398    Vardas4398                 5.30            5.40
Pavarde4399    Vardas4399                 7.20            7.00
Pavarde4400    Vardas4400                 4.90            4.40
Pavarde4401    Vardas4401                 2.80            3.20
Pavarde4402    Vardas4402                 6.30            5.80
Pavarde4403    Vardas4403                 3.50            3.40
Pavarde4404    Vardas4404                 7.70            7.40
Pavarde4405    Vardas4405                 7.40            7.20
Pavarde4406    Vardas4406                 7.50            7.20
Pavarde4407    Vardas4407                 7.80            7.80
Pavarde4408    Vardas4408                 8.20            8.60
Pavarde4409    Vardas4409                 4.70            4.40
Pavarde4410    Vardas4410                 7.40            7.00
Pavarde4411    Vardas4411                 4.60            4.80
Pavarde4412    Vardas4412                 8.00            8.00
Pavarde4413    Vardas4413                 6.10            6.60
Pavarde4414    Vardas4414                 5.40            5.20
Pavarde4415    Vardas4415                 6.10            5.60
Pavarde4416    Vardas4416                 6.30            6.20
Pavarde4417    Vardas4417                 6.20            6.20
Pavarde4418    Vardas4418                 8.60            8.80
Pavarde4419    Vardas4419                 5.40            5.40
Pavarde4420    Vardas4420                 4.50            4.00
Pavarde4421    Vardas4421                 8.20            8.20
Pavarde4422    Vardas4422                 3.40            3.40
Pavarde4423    Vardas4423                 8.20            8.00
Pavarde4424    Vardas4424                 8.30            8.40
Pavarde4425    Vardas4425                 8.30            8.60
Pavarde4426    Vardas4426                 7.70            7.60
Pavarde4427    Vardas4427                 3.30            3.40
Pavarde4428    Vardas4428                 6.30            6.60
Pavarde4429    Vardas4429                 6.50            6.60
Pavarde4430    Vardas4430                 4.70            4.80
Pavarde4431    Vardas4431                 5.10            4.40
Pavarde4432    Vardas4432                 4.90            5.00
Pavarde4433    Vardas4433                 5.50            5.40
Pavarde4434    Vardas4434                 7.90            8.00
Pavarde4435    Vardas4435                 6.20            6.60
Pavarde4436    Vardas4436                 7.90            8.20
Pavarde4437    Vardas4437                 6.00            6.00
Pavarde4438    Vardas4438                 8.30            8.60
Pavarde4439    Vardas4439                 3.90            3.40
Pavarde4440    Vardas4440                 3.60            3.60
Pavarde4441    Vardas4441                 7.80            7.80
Pavarde4442    Vardas4442                 3.10            2.80
Pavarde4443    Vardas4443                 7.40            7.20
Pavarde4444    Vardas4444                 7.50            8.00
Pavarde4445    Vardas4445                 4.90            4.80
Pavarde4446    Vardas4446                 7.40            7.60
Pavarde4447    Vardas4447                 7.00            7.00
Pavarde4448    Vardas4448                 5.00            5.00
Pavarde4449    Vardas4449                 4.40            4.60
Pavarde4450    Vardas4450                 4.70            5.20
Pavarde4451    Vardas4451                 2.80            2.60
Pavarde4452    Vardas4452                 3.60            3.80
Pavarde4453    Vardas4453                 8.00            8.40
Pavarde4454    Vardas4454                 6.70            7.00
Pavarde4455    Vardas4455                 3.60            3.60
Pavarde4456    Vardas4456                 8.30            8.40
Pavarde4457    Vardas4457                 1.90            2.00
Pavarde4458    Vardas4458                 7.00            7.00
Pavarde4459    Vardas4459                 4.80            4.40
Pavarde4460    Vardas4460                 4.50            4.20
Pavarde4461    Vardas4461                 4.80            4.80
Pavarde4462    Vardas4462                 7.30            7.60
Pavarde4463    Vardas4463                 4.50            4.60
Pavarde4464    Vardas4464                 4.70            5.00
Pavarde4465    Vardas4465                 2.90            2.80
Pavarde4466    Vardas4466                 5.30            5.20
Pavarde4467    Vardas4467                 8.30            8.40
Pavarde4468    Vardas4468                 9.40            9.40
Pavarde4469    Vardas4469                 5.80            6.00
Pavarde4470    Vardas4470                 8.50            8.60
Pavarde4471    Vardas4471                 4.40            4.20
Pavarde4472    Vardas4472                 4.10            3.80
Pavarde4473    Vardas4473                 3.60            3.80
Pavarde4474    Vardas4474                 4.00            4.00
Pavarde4475    Vardas4475                 4.30            4.40
Pavarde4476    Vardas4476                 4.50            4.40
Pavarde4477    Vardas4477                 1.90            2.00
Pavarde4478    Vardas4478                 6.10            6.20
Pavarde4479    Vardas4479                 7.00            7.00
Pavarde4480    Vardas4480                 3.70            4.20
Pavarde4481    Vardas4481                 2.50            2.60
Pavarde4482    Vardas4482                 8.20            7.60
Pavarde4483    Vardas4483                 6.60            7.00
Pavarde4484    Vardas4484                 3.50            3.20
Pavarde4485    Vardas4485                 4.00            4.00
